
Sahara : Köhler annonce une nouvelle table ronde en mars,2 février 2019 at 18 h 20 min,Table ronde ou pas le maroc est chez lui au sahara marocain on ette d tout simplement la comférmation de la trahison d’un régime qui a vendu son àmes 
Ministère de la culture et de la communication : Mustapha Taimi nouveau secrétaire général du département de la communication,23 janvier 2019 at 21 h 41 min,De prime abord  celui qui sur la photo est Monsieur Bakkour et pas de Monsieur Mustapha Taimi. Par ailleurs  ce dernier est un homme très compétent  sérieux  honnête et dynamique. Il a le talent et le savoir-faire. 
Dialogue social : Nouveau round ce mardi,7 janvier 2019 at 15 h 55 min,Si vous voulez faire la comédie assurez vous de la presence de spectateurs. 
Emigration illégale : Un nouveau réseau démantelé à Tanger,6 janvier 2019 at 20 h 17 min,Bravo pour cette bonne nouvelle 
3ème phase de l’INDH 2019-2023 : Les grandes lignes présentées à Agadir,13 janvier 2019 at 15 h 33 min,La reunion de la comission de l’INDH region du quand ? Merci 
Sahara : Les regards se tournent vers Horst Köhler,8 décembre 2018 at 0 h 33 min,un livre de toutes les livres 
Sahara : Les regards se tournent vers Horst Köhler,26 janvier 2019 at 12 h 28 min,La cause national premiere de toute les causes 
Sahara : Les regards se tournent vers Horst Köhler,14 décembre 2018 at 19 h 10 min,a quoi sert un referendum qui doit plebisciter l’autonomie 
Sahara : Les regards se tournent vers Horst Köhler,12 janvier 2019 at 22 h 50 min,Surtout une cause noble et ligne rouge pour le peuple marocain 
Le Parlement tient une réunion à la veille de la Conférence internationale sur la migration,3 décembre 2018 at 13 h 02 min,J’ai la chair de poule…Entre l’enclume et le marteau bien malin qui saurait quoi incriminer:la première ou bien le second? 
Dialogue social : Les chances d’un accord s’amenuisent,29 novembre 2018 at 9 h 29 min,Les syndicats devraient se saisir de l’offre du gouvernement si insuffisante qu’elle paraisse sinon  comme c’est déjà arrivé avec d’autres gouvernements   ils risquent de tout faire perdre à la classe des salariés laquelle serait obligée d’attendre trois ou quatre autres années . Le boycott est une attitude politique  non syndicale  qui fait le bonheur du gouvernement et lui offre une bonne raison-au fait un prétexte  pour se détracter et leur faire porter le chapeau .Les responsables syndicalistes ne semblent pas avoir entendu parler de la stratégie des « petits pas ». Regrettable. 
Initiatives de la société civile : Des retombées positives pour le projet «Fleurir Ma Médina» en Africités,26 novembre 2018 at 17 h 11 min,il fallait montrer à tout ce beua monde ouazzazat qui a soif ou méme Djerada qui a faim 
Le peuple marocain célèbre l’anniversaire de SAR la Princesse Lalla Hasnaa,26 novembre 2018 at 17 h 13 min,bonne anniversaire pour lalla salma du maroc 
Appel royal à un dialogue direct et franc avec l’Algérie,8 novembre 2018 at 9 h 46 min,Tu as a dialogue avec le Polisario. Il ne fault pas perdere du temps- Le President Trump et son ami de combat Bolton ont decide de presenter le project James Baker- Tu n’as plus le chpi- ou bien les elections pour le Polisario ou le baton sur la tete du maroc 
Darija dans les manuels scolaires : La tutelle dément,5 septembre 2018 at 20 h 06 min,Si vous estimez votre citoyenneté  si vous évaluez votre patriotisme  si vous évaluez votre origine marocaine amazighe il faut boycotter tout ce que le PJD et l’Istiqlal vous proposent…parce qu’ils veulent vous détruire et changer ce que vous êtes…Ils rejettent votre langue marocaine ‘la Darija’ aussi bien que ‘la langue maternelle des marocains qui est Tamazight’…Plus d’un MILLIARD de musulmans dans le monde ne connaissent pas ce patois devenu la langue des bédouins et ignorants chameliers nabatéens du désert d’arabie…. 
